t,y_actual_dg,lb_y_actual_dg,ub_y_actual_dg,y_counter_dg,lb_counter_dg,ub_counter_dg,day_avg_dg
20feb2020,1.128465,.929628,1.327302,1.462632,1.240741,1.684523,1.128465
21feb2020,.6145936,.5057369,.7234502,.9487607,.7846901,1.112831,.9044561
22feb2020,.4627919,.386501,.5390828,.9487607,.7846901,1.112831,.6061358
23feb2020,.4627919,.386501,.5390828,.9487607,.7846901,1.112831,.6701579
24feb2020,.4627919,.386501,.5390828,.9487607,.7846901,1.112831,.3819346
25feb2020,.4627919,.386501,.5390828,.9487607,.7846901,1.112831,.119545
26feb2020,.4627919,.386501,.5390828,.9487607,.7846901,1.112831,.3031554
27feb2020,.4627919,.386501,.5390828,.9487607,.7846901,1.112831,.4059601
28feb2020,.1286247,.0717387,.1855107,.9487607,.7846901,1.112831,.255486
29feb2020,.4494724,.2506353,.6483096,1.269608,.9995201,1.539697,.4494724
01mar2020,.1286247,.0717387,.1855107,.9487607,.7846901,1.112831,.2203999
02mar2020,.1286247,.0717387,.1855107,.9487607,.7846901,1.112831,.1817985
03mar2020,.1286247,.0717387,.1855107,.9487607,.7846901,1.112831,.1554585
04mar2020,.1286247,.0717387,.1855107,.9487607,.7846901,1.112831,.1062002
05mar2020,.1286247,.0717387,.1855107,.9487607,.7846901,1.112831,.0768213
06mar2020,.1286247,.0717387,.1855107,.9487607,.7846901,1.112831,.0806351
07mar2020,.1286247,.0717387,.1855107,.9487607,.7846901,1.112831,.0780039
08mar2020,.1286247,.0717387,.1855107,.9487607,.7846901,1.112831,.0557423
09mar2020,.1286247,.0717387,.1855107,.9487607,.7846901,1.112831,.0357681
10mar2020,.1286247,.0717387,.1855107,.9487607,.7846901,1.112831,.0169149
11mar2020,0,0,.06153,.9487607,.7846901,1.112831,.0238052
12mar2020,0,0,.06153,.9487607,.7846901,1.112831,.013052
13mar2020,0,0,.06153,.9487607,.7846901,1.112831,.0109574
14mar2020,0,0,.06153,.9487607,.7846901,1.112831,.0111211
15mar2020,.1456305,.0409554,.2503056,.9487607,.7846901,1.112831,.0074114
16mar2020,0,0,.0595448,.9487607,.7846901,1.112831,.0063567
17mar2020,0,0,.0595448,.9487607,.7846901,1.112831,.006071
18mar2020,0,0,.0595448,.9487607,.7846901,1.112831,.0090444
19mar2020,0,0,.0595448,.9487607,.7846901,1.112831,.019292
20mar2020,0,0,.0595448,.9487607,.7846901,1.112831,.0071174
21mar2020,0,0,.0595448,.9487607,.7846901,1.112831,.0149448
22mar2020,.0097972,0,.2086344,.9592246,.6962282,1.222221,.0097972
23mar2020,0,0,.0462176,.9487607,.7846901,1.112831,.0057444
24mar2020,0,0,.0462176,.9487607,.7846901,1.112831,.0077636
25mar2020,0,0,.0462176,.9487607,.7846901,1.112831,.0037313
26mar2020,0,0,.0462176,.9487607,.7846901,1.112831,.0072423
27mar2020,.0102937,0,.2091308,.9542165,.6919307,1.216502,.0102937
28mar2020,.0048379,0,.0508631,.9487607,.7846901,1.112831,.0233322
29mar2020,.0048379,0,.0508631,.9487607,.7846901,1.112831,.0079695
30mar2020,.0048379,0,.0508631,.9487607,.7846901,1.112831,.005117
31mar2020,.0048379,0,.0508631,.9487607,.7846901,1.112831,.0229797
01apr2020,.0103425,0,.0742109,.9487607,.7846901,1.112831,.0078555
02apr2020,.0103425,0,.0742109,.9487607,.7846901,1.112831,.008589
03apr2020,.0103425,0,.0742109,.9487607,.7846901,1.112831,.004
04apr2020,.0103425,0,.0742109,.9487607,.7846901,1.112831,.012851
05apr2020,.0158471,0,.1057396,.9487607,.7846901,1.112831,.0037135
06apr2020,.0158471,0,.1057396,.9487607,.7846901,1.112831,.0072262
