date,adm0_name,cum_confirmed_cases,active_cases,cum_deaths,cum_recoveries
2020-01-22,Iran,0,0,0,0
2020-01-23,Iran,0,0,0,0
2020-01-24,Iran,0,0,0,0
2020-01-25,Iran,0,0,0,0
2020-01-26,Iran,0,0,0,0
2020-01-27,Iran,0,0,0,0
2020-01-28,Iran,0,0,0,0
2020-01-29,Iran,0,0,0,0
2020-01-30,Iran,0,0,0,0
2020-01-31,Iran,0,0,0,0
2020-02-01,Iran,0,0,0,0
2020-02-02,Iran,0,0,0,0
2020-02-03,Iran,0,0,0,0
2020-02-04,Iran,0,0,0,0
2020-02-05,Iran,0,0,0,0
2020-02-06,Iran,0,0,0,0
2020-02-07,Iran,0,0,0,0
2020-02-08,Iran,0,0,0,0
2020-02-09,Iran,0,0,0,0
2020-02-10,Iran,0,0,0,0
2020-02-11,Iran,0,0,0,0
2020-02-12,Iran,0,0,0,0
2020-02-13,Iran,0,0,0,0
2020-02-14,Iran,0,0,0,0
2020-02-15,Iran,0,0,0,0
2020-02-16,Iran,0,0,0,0
2020-02-17,Iran,0,0,0,0
2020-02-18,Iran,0,0,0,0
2020-02-19,Iran,2,0,2,0
2020-02-20,Iran,5,3,2,0
2020-02-21,Iran,18,14,4,0
2020-02-22,Iran,28,23,5,0
2020-02-23,Iran,43,35,8,0
2020-02-24,Iran,61,49,12,0
2020-02-25,Iran,95,79,16,0
2020-02-26,Iran,139,71,19,49
2020-02-27,Iran,245,170,26,49
2020-02-28,Iran,388,281,34,73
2020-02-29,Iran,593,427,43,123
2020-03-01,Iran,978,749,54,175
2020-03-02,Iran,1501,1144,66,291
2020-03-03,Iran,2336,1968,77,291
2020-03-04,Iran,2922,2278,92,552
2020-03-05,Iran,3513,2667,107,739
2020-03-06,Iran,4747,3710,124,913
2020-03-07,Iran,5823,4009,145,1669
2020-03-08,Iran,6566,4238,194,2134
2020-03-09,Iran,7161,4530,237,2394
2020-03-10,Iran,8042,5020,291,2731
2020-03-11,Iran,9000,5687,354,2959
2020-03-12,Iran,10075,6687,429,2959
2020-03-13,Iran,11364,7891,514,2959
2020-03-14,Iran,12729,9159,611,2959
2020-03-15,Iran,13938,8624,724,4590
2020-03-16,Iran,14991,9548,853,4590
2020-03-17,Iran,16169,9792,988,5389
2020-03-18,Iran,17361,10837,1135,5389
2020-03-19,Iran,18407,11413,1284,5710
2020-03-20,Iran,19644,11466,1433,6745
2020-03-21,Iran,20610,11419,1556,7635
2020-03-22,Iran,21638,12022,1685,7931
2020-03-23,Iran,23049,13306,1812,7931
2020-03-24,Iran,24811,13964,1934,8913
2020-03-25,Iran,27017,15315,2077,9625
2020-03-26,Iran,29406,16715,2234,10457
2020-03-27,Iran,32332,18821,2378,11133
2020-03-28,Iran,35408,21212,2517,11679
2020-03-29,Iran,38309,23278,2640,12391
2020-03-30,Iran,41495,24827,2757,13911
2020-03-31,Iran,44605,27051,2898,14656
2020-04-01,Iran,47593,29084,3036,15473
2020-04-02,Iran,50468,30597,3160,16711
2020-04-03,Iran,53183,31954,3294,17935
2020-04-04,Iran,55743,32555,3452,19736
2020-04-05,Iran,58226,34887,3603,19736
2020-04-06,Iran,60500,32525,3739,24236
2020-04-07,Iran,62589,31678,3872,27039
2020-04-08,Iran,64586,30781,3993,29812
2020-04-09,Iran,66220,29801,4110,32309
2020-04-10,Iran,68192,28495,4232,35465
2020-04-11,Iran,70029,23725,4357,41947
2020-04-12,Iran,71686,23318,4474,43894
2020-04-13,Iran,73303,22735,4585,45983
2020-04-14,Iran,74877,22065,4683,48129
2020-04-15,Iran,76389,21679,4777,49933
