date,adm0_name,adm1_name,cum_confirmed_cases,active_cases,cum_deaths,cum_recoveries
2020-01-22,China,Anhui,1,1,0,0
2020-01-23,China,Anhui,9,9,0,0
2020-01-24,China,Anhui,15,15,0,0
2020-01-25,China,Anhui,39,39,0,0
2020-01-26,China,Anhui,60,60,0,0
2020-01-27,China,Anhui,70,70,0,0
2020-01-28,China,Anhui,106,106,0,0
2020-01-29,China,Anhui,152,150,0,2
2020-01-30,China,Anhui,200,198,0,2
2020-01-31,China,Anhui,237,234,0,3
2020-02-01,China,Anhui,297,292,0,5
2020-02-02,China,Anhui,340,333,0,7
2020-02-03,China,Anhui,408,394,0,14
2020-02-04,China,Anhui,480,460,0,20
2020-02-05,China,Anhui,530,507,0,23
2020-02-06,China,Anhui,591,557,0,34
2020-02-07,China,Anhui,665,618,0,47
2020-02-08,China,Anhui,733,674,0,59
2020-02-09,China,Anhui,779,706,1,72
2020-02-10,China,Anhui,830,739,3,88
2020-02-11,China,Anhui,860,751,4,105
2020-02-12,China,Anhui,889,758,4,127
2020-02-13,China,Anhui,910,748,5,157
2020-02-14,China,Anhui,934,735,6,193
2020-02-15,China,Anhui,950,723,6,221
2020-02-16,China,Anhui,962,701,6,255
2020-02-17,China,Anhui,973,687,6,280
2020-02-18,China,Anhui,982,615,6,361
2020-02-19,China,Anhui,986,567,6,413
2020-02-20,China,Anhui,987,507,6,474
2020-02-21,China,Anhui,988,443,6,539
2020-02-22,China,Anhui,989,386,6,597
2020-02-23,China,Anhui,989,346,6,637
2020-02-24,China,Anhui,989,320,6,663
2020-02-25,China,Anhui,989,271,6,712
2020-02-26,China,Anhui,989,239,6,744
2020-02-27,China,Anhui,989,191,6,792
2020-02-28,China,Anhui,990,163,6,821
2020-02-29,China,Anhui,990,116,6,868
2020-03-01,China,Anhui,990,111,6,873
2020-03-02,China,Anhui,990,67,6,917
2020-03-03,China,Anhui,990,48,6,936
2020-03-04,China,Anhui,990,28,6,956
2020-03-05,China,Anhui,990,14,6,970
2020-03-06,China,Anhui,990,5,6,979
2020-03-07,China,Anhui,990,5,6,979
2020-03-08,China,Anhui,990,0,6,984
2020-03-09,China,Anhui,990,0,6,984
2020-03-10,China,Anhui,990,0,6,984
2020-03-11,China,Anhui,990,0,6,984
2020-03-12,China,Anhui,990,0,6,984
2020-03-13,China,Anhui,990,0,6,984
2020-03-14,China,Anhui,990,0,6,984
2020-03-15,China,Anhui,990,0,6,984
2020-03-16,China,Anhui,990,0,6,984
2020-03-17,China,Anhui,990,0,6,984
2020-03-18,China,Anhui,990,0,6,984
2020-03-19,China,Anhui,990,0,6,984
2020-03-20,China,Anhui,990,0,6,984
2020-03-21,China,Anhui,990,0,6,984
2020-03-22,China,Anhui,990,0,6,984
2020-03-23,China,Anhui,990,0,6,984
2020-03-24,China,Anhui,990,0,6,984
2020-03-25,China,Anhui,990,0,6,984
2020-03-26,China,Anhui,990,0,6,984
2020-03-27,China,Anhui,990,0,6,984
2020-03-28,China,Anhui,990,0,6,984
2020-03-29,China,Anhui,990,0,6,984
2020-03-30,China,Anhui,990,0,6,984
2020-03-31,China,Anhui,990,0,6,984
2020-04-01,China,Anhui,990,0,6,984
2020-04-02,China,Anhui,990,0,6,984
2020-04-03,China,Anhui,990,0,6,984
2020-04-04,China,Anhui,990,0,6,984
2020-04-05,China,Anhui,990,0,6,984
2020-04-06,China,Anhui,990,0,6,984
2020-04-07,China,Anhui,990,0,6,984
2020-04-08,China,Anhui,990,0,6,984
2020-04-09,China,Anhui,991,1,6,984
2020-04-10,China,Anhui,991,1,6,984
2020-04-11,China,Anhui,991,1,6,984
2020-04-12,China,Anhui,991,1,6,984
2020-04-13,China,Anhui,991,1,6,984
2020-04-14,China,Anhui,991,1,6,984
2020-04-15,China,Anhui,991,1,6,984
2020-04-16,China,Anhui,991,1,6,984
2020-04-17,China,Anhui,991,1,6,984
2020-04-18,China,Anhui,991,1,6,984
2020-01-22,China,Beijing,14,14,0,0
2020-01-23,China,Beijing,22,22,0,0
2020-01-24,China,Beijing,36,35,0,1
2020-01-25,China,Beijing,41,39,0,2
2020-01-26,China,Beijing,68,66,0,2
2020-01-27,China,Beijing,80,77,1,2
2020-01-28,China,Beijing,91,86,1,4
2020-01-29,China,Beijing,111,106,1,4
2020-01-30,China,Beijing,114,109,1,4
2020-01-31,China,Beijing,139,133,1,5
2020-02-01,China,Beijing,168,158,1,9
2020-02-02,China,Beijing,191,181,1,9
2020-02-03,China,Beijing,212,199,1,12
2020-02-04,China,Beijing,228,204,1,23
2020-02-05,China,Beijing,253,228,1,24
2020-02-06,China,Beijing,274,242,1,31
2020-02-07,China,Beijing,297,263,1,33
2020-02-08,China,Beijing,315,279,2,34
2020-02-09,China,Beijing,326,287,2,37
2020-02-10,China,Beijing,337,291,2,44
2020-02-11,China,Beijing,342,291,3,48
2020-02-12,China,Beijing,352,293,3,56
2020-02-13,China,Beijing,366,294,3,69
2020-02-14,China,Beijing,372,289,3,80
2020-02-15,China,Beijing,375,273,4,98
2020-02-16,China,Beijing,380,268,4,108
2020-02-17,China,Beijing,381,263,4,114
2020-02-18,China,Beijing,387,261,4,122
2020-02-19,China,Beijing,393,244,4,145
2020-02-20,China,Beijing,395,238,4,153
2020-02-21,China,Beijing,396,223,4,169
2020-02-22,China,Beijing,399,217,4,178
2020-02-23,China,Beijing,399,206,4,189
2020-02-24,China,Beijing,399,197,4,198
2020-02-25,China,Beijing,400,181,4,215
2020-02-26,China,Beijing,400,161,4,235
2020-02-27,China,Beijing,410,157,5,248
2020-02-28,China,Beijing,410,146,7,257
2020-02-29,China,Beijing,411,132,8,271
2020-03-01,China,Beijing,413,129,8,276
2020-03-02,China,Beijing,414,124,8,282
2020-03-03,China,Beijing,414,118,8,288
2020-03-04,China,Beijing,418,113,8,297
2020-03-05,China,Beijing,418,113,8,297
2020-03-06,China,Beijing,422,115,8,299
2020-03-07,China,Beijing,426,115,8,303
2020-03-08,China,Beijing,428,112,8,308
2020-03-09,China,Beijing,428,105,8,315
2020-03-10,China,Beijing,429,101,8,320
2020-03-11,China,Beijing,435,101,8,326
2020-03-12,China,Beijing,435,93,8,334
2020-03-13,China,Beijing,436,86,8,342
2020-03-14,China,Beijing,437,80,8,349
2020-03-15,China,Beijing,442,81,8,353
2020-03-16,China,Beijing,452,84,8,360
2020-03-17,China,Beijing,456,79,8,369
2020-03-18,China,Beijing,469,83,8,378
