state,city_name,city_pop,state_name,date_closed
AK,Anchorage,298225,alaska,2020-03-16
AR,Little Rock,197780,arkansas,2020-03-13
AR,North Little Rock,66144,arkansas,2020-03-13
AR,Pine Bluff,44509,arkansas,2020-03-13
AZ,Phoenix,1574421,arizona,2020-03-13
CA,San Francisco,864263,california,2020-03-12
CA,Oakland,417442,california,2020-03-05
CA,Elk Grove,166228,california,2020-03-09
CA,Los Angeles,3949776,california,2020-03-16
CA,San Francisco,864263,california,2020-03-11
CA,Murrieta,110043,california,2020-03-09
CA,Healdsburg,11721,california,2020-03-02
CA,Atherton,7182,california,2020-03-04
CA,San Jose,1023031,california,2020-03-05
CA,Berkeley,120179,california,2020-03-05
CA,San Francisco,864263,california,2020-03-05
CA,San Francisco,864263,california,2020-03-09
CA,Los Angeles,3949776,california,2020-03-11
CA,Palos Verdes Estates,13591,california,2020-03-13
CA,Parlier,15051,california,2020-03-11
CA,Sacramento,489650,california,2020-03-16
CA,San Diego,1390966,california,2020-03-16
CA,San Francisco,864263,california,2020-03-16
CA,San Francisco,864263,california,2020-03-05
CA,Richmond,108853,california,2020-03-16
CO,Aurora,357323,colorado,2020-03-13
CO,Boulder,106271,colorado,2020-03-13
CO,Greenwood Village,15397,colorado,2020-03-13
CO,Gunnison,6250,colorado,2020-03-17
CO,Golden,20365,colorado,2020-03-16
CO,Littleton,45848,colorado,2020-03-13
CO,Denver,678467,colorado,2020-03-06
CO,Brighton,38016,colorado,2020-03-13
CO,Denver,678467,colorado,2020-03-16
CO,Longmont,91730,colorado,2020-03-13
CO,Westminster,111895,colorado,2020-03-16
CO,Pueblo,109122,colorado,2020-03-16
CT,Darien,21742,connecticut,2020-03-12
CT,Greenwich,13399,connecticut,2020-03-12
CT,Middletown,46747,connecticut,2020-03-12
CT,Greenwich,13399,connecticut,2020-03-09
CT,Milford,52331,connecticut,2020-03-11
CT,New Canaan,NA,NA,2020-03-12
CT,New Haven,130884,connecticut,2020-03-13
CT,Norwalk,88537,connecticut,2020-03-16
CT,Woodbury,NA,NA,2020-03-11
CT,Stratford,52529,connecticut,2020-03-11
CT,Westport,27777,connecticut,2020-03-12
DC,Washington,672391,district of columbia,2020-03-16
DC,Washington,672391,district of columbia,2020-03-10
DC,Washington,672391,district of columbia,2020-03-09
DC,Washington,672391,district of columbia,2020-03-11
DC,Washington,672391,district of columbia,2020-03-12
DC,Washington,672391,district of columbia,2020-03-10
FL,Niceville,14697,florida,2020-03-09
GA,Atlanta,465230,georgia,2020-03-16
GA,Winder,15403,georgia,2020-03-16
GA,Buford,14662,georgia,2020-03-16
GA,Marietta,60203,georgia,2020-03-16
GA,Fairburn,14257,georgia,2020-03-09
GA,East Point,35380,georgia,2020-03-09
GA,Fairburn,14257,georgia,2020-03-09
GA,Atlanta,465230,georgia,2020-03-10
GA,Lawrenceville,29287,georgia,2020-03-16
GA,Woodstock,29227,georgia,2020-03-03
GA,Holly Springs,10809,georgia,2020-03-06
IA,Des Moines,214778,iowa,2020-03-16
ID,Genesee,994,idaho,2020-03-02
ID,Troy,889,idaho,2020-03-02
IL,Chicago,2722586,illinois,2020-03-16
IL,Chicago,2722586,illinois,2020-03-09
IL,Lombard,43776,illinois,2020-03-11
IL,Wilmette,27393,illinois,2020-03-09
IL,Chicago,2722586,illinois,2020-03-10
IL,Chicago,2722586,illinois,2020-03-10
IN,Avon,16479,indiana,2020-03-09
IN,Indianapolis,853431,indiana,2020-03-13
IN,South Bend,101928,indiana,2020-03-09
KY,Florence,31603,kentucky,2020-03-16
KY,Cynthiana,6328,kentucky,2020-03-09
KY,Lexington,NA,NA,2020-03-09
MA,Marlborough,39771,massachusetts,2020-03-12
MA,Arlington,44992,massachusetts,2020-03-09
MA,Boston,669158,massachusetts,2020-03-12
MA,Roxbury,NA,NA,2020-03-17
MA,Hyde Park,NA,NA,2020-03-06
MA,Brookline,59246,massachusetts,2020-03-12
MA,Chelsea,39272,massachusetts,2020-03-11
MA,Clarksburg,NA,NA,2020-03-09
MA,Framingham,71232,massachusetts,2020-03-12
MA,Hopkinton,2936,massachusetts,2020-03-11
MA,Lynnfield,12732,massachusetts,2020-03-12
MA,Milford,25738,massachusetts,2020-03-12
MA,Malden,61212,massachusetts,2020-03-11
MA,Worcester,184743,massachusetts,2020-03-09
MA,Natick,NA,NA,2020-03-06
MA,Plainville,NA,NA,2020-03-09
MA,Plymouth,7017,massachusetts,2020-03-06
MA,Salem,43146,massachusetts,2020-03-13
MA,Somerville,79983,massachusetts,2020-03-12
MA,Wayland,NA,NA,2020-03-11
MA,Wellesley,29004,massachusetts,2020-03-06
MA,West Springfield,NA,NA,2020-03-10
MA,Weston,NA,NA,2020-03-12
MA,Wilmington,23538,massachusetts,2020-03-12
MA,Winchendon,3379,massachusetts,2020-03-12
MI,Ann Arbor,119303,michigan,2020-03-16
MN,New Hope,20909,minnesota,2020-03-13
MO,Saint Louis,NA,NA,2020-03-09
MO,Saint Louis,NA,NA,2020-03-10
MS,Jackson,170393,mississippi,2020-03-16
NC,Chapel Hill,59234,north carolina,2020-03-16
NC,Durham,257232,north carolina,2020-03-16
NC,Hillsborough,7033,north carolina,2020-03-16
NE,Bellevue,53040,nebraska,2020-03-13
NE,Crofton,859,nebraska,2020-03-11
NE,Elkhorn,NA,NA,2020-03-12
NE,Fremont,26356,nebraska,2020-03-09
NE,Hartington,1701,nebraska,2020-03-11
NE,Hooper,768,nebraska,2020-03-09
NE,Omaha,463081,nebraska,2020-03-16
NE,Papillion,19478,nebraska,2020-03-12
NE,Plattsmouth,6435,nebraska,2020-03-09
NH,Bedford,NA,NA,2020-03-16
NH,Hollis,NA,NA,2020-03-10
NH,Nashua,87642,new hampshire,2020-03-16
NH,Newmarket,5519,new hampshire,2020-03-09
NJ,Allendale,6820,new jersey,2020-03-11
NJ,Alpine,1481,new jersey,2020-03-16
NJ,Elmwood Park,20293,new jersey,2020-03-16
NJ,Paramus,26919,new jersey,2020-03-11
NJ,Bergenfield,27694,new jersey,2020-03-16
NJ,Berkeley Heights,NA,NA,2020-03-10
NJ,Bogota,8437,new jersey,2020-03-16
NJ,Boonton,8390,new jersey,2020-03-13
NJ,Cliffside Park,24861,new jersey,2020-03-16
NJ,Cranford,NA,NA,2020-03-16
NJ,Dumont,17882,new jersey,2020-03-16
NJ,East Brunswick,NA,NA,2020-03-12
NJ,Voorhees,1413,new jersey,2020-03-12
NJ,Englewood Cliffs,5435,new jersey,2020-03-16
NJ,Fair Lawn,33447,new jersey,2020-03-16
NJ,Haddonfield,11428,new jersey,2020-03-16
NJ,Lyndhurst,NA,NA,2020-03-12
NJ,Middlesex,13875,new jersey,2020-03-13
NJ,Millburn,NA,NA,2020-03-12
NJ,Flanders,NA,NA,2020-03-09
NJ,Paramus,26919,new jersey,2020-03-06
NJ,Haworth,3473,new jersey,2020-03-13
NJ,North Arlington,15877,new jersey,2020-03-12
NJ,Paramus,26919,new jersey,2020-03-11
NJ,Little Silver,5917,new jersey,2020-03-10
NJ,Roselle,21746,new jersey,2020-03-10
NJ,Succasunna,8971,new jersey,2020-03-10
NJ,Scotch Plains,NA,NA,2020-03-11
NJ,North Brunswick,NA,NA,2020-03-12
NJ,Trenton,84867,new jersey,2020-03-12
NJ,Washington,6517,new jersey,2020-03-11
NJ,Long Valley,2023,new jersey,2020-03-13
NJ,Wayne,NA,NA,2020-03-13
NV,Reno,239732,nevada,2020-03-06
NY,New York,8560072,new york,2020-03-16
NY,Rye Brook,9543,new york,2020-03-10
NY,Far Rockaway,NA,NA,2020-03-11
NY,Spring Valley,32538,new york,2020-03-09
NY,Suffern,10984,new york,2020-03-09
NY,Spring Valley,32538,new york,2020-03-11
NY,Glen Cove,27376,new york,2020-03-10
NY,Hastings On Hudson,NA,NA,2020-03-05
NY,Shrub Oak,2356,new york,2020-03-11
NY,Locust Valley,3174,new york,2020-03-10
NY,Pleasantville,7275,new york,2020-03-09
NY,Mount Vernon,68671,new york,2020-03-05
NY,Riverdale,NA,NA,2020-03-03
NY,Mamaroneck,19327,new york,2020-03-03
NY,New Rochelle,79877,new york,2020-03-03
NY,Bronx,NA,NA,2020-03-03
NY,White Plains,58404,new york,2020-03-05
NY,New York,8560072,new york,2020-03-05
NY,New York,8560072,new york,2020-03-06
NY,Purchase,NA,NA,2020-03-09
NY,New York,8560072,new york,2020-03-09
NY,Crestwood,NA,NA,2020-03-09
NY,Brooklyn,NA,NA,2020-03-09
NY,Bronx,NA,NA,2020-03-10
NY,New York,8560072,new york,2020-03-10
NY,Locust Valley,3174,new york,2020-03-10
NY,Locust Valley,3174,new york,2020-03-10
NY,Jamaica,NA,NA,2020-03-10
NY,New York,8560072,new york,2020-03-11
NY,New Rochelle,79877,new york,2020-03-11
NY,New Rochelle,79877,new york,2020-03-12
NY,New York,8560072,new york,2020-03-13
NY,Rochelle,NA,NA,2020-03-11
NY,Bronx,NA,NA,2020-03-12
NY,Oyster Bay,6104,new york,2020-03-10
NY,Peekskill,24111,new york,2020-03-11
NY,Plainview,26141,new york,2020-03-10
NY,Scarsdale,17856,new york,2020-03-09
NY,Shoreham,449,new york,2020-03-09
NY,Somers,NA,NA,2020-03-09
NY,Eastchester,20099,new york,2020-03-12
OH,Akron,198252,ohio,2020-03-11
OH,The Plains,2983,ohio,2020-03-16
OH,Rootstown,NA,NA,2020-03-11
OH,Chagrin Falls,4081,ohio,2020-03-13
OH,Cincinnati,298957,ohio,2020-03-10
OH,Gahanna,34691,ohio,2020-03-11
OH,Liberty Township,NA,NA,2020-03-13
OH,Twinsburg,18849,ohio,2020-03-13
OH,Vermilion,10538,ohio,2020-03-13
OK,Oklahoma City,629191,oklahoma,2020-03-13
OR,Lake Oswego,38212,oregon,2020-03-02
OR,Portland,630331,oregon,2020-03-04
PA,Warrington,NA,NA,2020-03-06
PA,Chalfont,4082,pennsylvania,2020-03-06
PA,Doylestown,8307,pennsylvania,2020-03-06
PA,Elkins Park,NA,NA,2020-03-10
PA,Glen Mills,NA,NA,2020-03-16
PA,Horsham,14563,pennsylvania,2020-03-10
PA,Havertown,NA,NA,2020-03-13
PA,Ardmore,13193,pennsylvania,2020-03-10
PA,Fort Washington,5640,pennsylvania,2020-03-09
PA,Lahaska,NA,NA,2020-03-10
PA,Langhorne,1536,pennsylvania,2020-03-10
PA,Norristown,34556,pennsylvania,2020-03-10
PA,Philadelphia,1569657,pennsylvania,2020-03-16
PA,Phoenixville,16743,pennsylvania,2020-03-16
PA,Media,5346,pennsylvania,2020-03-16
PA,Springfield,NA,NA,2020-03-16
PA,Kennett Square,6138,pennsylvania,2020-03-10
PA,Drexel Hill,28246,pennsylvania,2020-03-13
PA,King of Prussia,20044,pennsylvania,2020-03-10
PA,West Chester,19698,pennsylvania,2020-03-10
PA,Lansdowne,10641,pennsylvania,2020-03-16
RI,Providence,179509,rhode island,2020-03-02
RI,Cranston,80979,rhode island,2020-03-02
RI,East Greenwich,NA,NA,2020-03-03
RI,Pawtucket,71770,rhode island,2020-03-02
SC,Greenville,64061,south carolina,2020-03-09
SD,Hartford,3043,south dakota,2020-03-11
TN,Nashville,NA,NA,2020-03-12
TN,Memphis,654723,tennessee,2020-03-13
TN,Franklin,72990,tennessee,2020-03-06
TX,Aldine,15077,texas,2020-03-16
TX,Alief,NA,NA,2020-03-13
TX,Alvarado,3913,texas,2020-03-11
TX,Alvin,25811,texas,2020-03-16
TX,Angleton,19280,texas,2020-03-16
TX,Austin,916906,texas,2020-03-13
TX,Clute,11414,texas,2020-03-16
TX,Bryan,81743,texas,2020-03-16
TX,Channelview,40983,texas,2020-03-16
TX,League City,98215,texas,2020-03-16
TX,College Station,107445,texas,2020-03-16
TX,Conroe,77086,texas,2020-03-16
TX,Crosby,2704,texas,2020-03-16
TX,Houston,2267336,texas,2020-03-13
TX,Deer Park,33748,texas,2020-03-16
TX,Sugar Land,86886,texas,2020-03-16
TX,Humble,15736,texas,2020-03-16
TX,Katy,17265,texas,2020-03-16
TX,Klein,NA,NA,2020-03-16
TX,Houston,2267336,texas,2020-03-11
TX,Dallas,1300122,texas,2020-03-11
TX,Pasadena,153909,texas,2020-03-16
TX,Wylie,47855,texas,2020-03-16
UT,Murray,49038,utah,2020-03-13
VA,Alexandria,154710,virginia,2020-03-16
VA,Arlington,229534,virginia,2020-03-16
VA,Quantico,522,virginia,2020-03-09
VA,Falls Church,13843,virginia,2020-03-16
VA,Henrico,NA,NA,2020-03-16
VA,Ashburn,49895,virginia,2020-03-12
VA,Flint Hill,313,virginia,2020-03-05
VA,Manassas,41379,virginia,2020-03-16
VA,Richmond,220892,virginia,2020-03-16
VT,Williston,NA,NA,2020-03-09
VT,Stamford,NA,NA,2020-03-09
VT,Wilmington,419,vermont,2020-03-09
WA,Bellevue,139014,washington,2020-03-13
WA,Colville,4697,washington,2020-03-02
WA,Mill Creek,19706,washington,2020-03-02
WA,Bothell,44082,washington,2020-03-09
WA,Covington,19918,washington,2020-03-02
WA,Redmond,60712,washington,2020-03-12
WA,Marysville,66178,washington,2020-03-03
WA,Marysville,66178,washington,2020-03-06
WA,Mercer Island,24768,washington,2020-03-13
WA,Bellingham,85388,washington,2020-03-10
WA,Monroe,18149,washington,2020-03-05
WA,Mukilteo,21101,washington,2020-03-02
WA,Mukilteo,21101,washington,2020-03-02
WA,Bothell,44082,washington,2020-03-02
WA,Kirkland,86772,washington,2020-03-03
WA,Kirkland,86772,washington,2020-03-03
WA,Seattle,688245,washington,2020-03-03
WA,Bellevue,139014,washington,2020-03-04
WA,Seattle,688245,washington,2020-03-05
WA,Sammamish,62877,washington,2020-03-06
WA,Montlake Terrace,NA,NA,2020-03-06
WA,Seattle,688245,washington,2020-03-06
WA,Medina,3217,washington,2020-03-09
WA,Redmond,60712,washington,2020-03-09
WA,Seattle,688245,washington,2020-03-09
WA,Shoreline,55431,washington,2020-03-09
WA,Seattle,688245,washington,2020-03-09
WA,Kirkland,86772,washington,2020-03-09
WA,Redmond,60712,washington,2020-03-02
WA,Kingston,1875,washington,2020-03-02
WA,Bothell,44082,washington,2020-02-27
WA,Bothell,44082,washington,2020-03-02
WA,Bothell,44082,washington,2020-03-03
WA,Puyallup,39637,washington,2020-03-02
WA,Kirkland,86772,washington,2020-03-02
WA,Seattle,688245,washington,2020-03-11
WA,Seattle,688245,washington,2020-03-12
WA,Shelton,9882,washington,2020-03-03
WA,Shoreline,55431,washington,2020-03-09
WA,Shoreline,55431,washington,2020-03-11
WA,Snohomish,9713,washington,2020-03-10
WA,Stanwood,6825,washington,2020-03-11
WA,Tacoma,207280,washington,2020-03-09
WA,Tacoma,207280,washington,2020-03-10
WA,Tacoma,207280,washington,2020-03-10
WI,Osceola,2499,wisconsin,2020-03-10
