date,adm0_name,cum_confirmed_cases,active_cases,cum_deaths,cum_recoveries
2020-01-22,Italy,0,0,0,0
2020-01-23,Italy,0,0,0,0
2020-01-24,Italy,0,0,0,0
2020-01-25,Italy,0,0,0,0
2020-01-26,Italy,0,0,0,0
2020-01-27,Italy,0,0,0,0
2020-01-28,Italy,0,0,0,0
2020-01-29,Italy,0,0,0,0
2020-01-30,Italy,0,0,0,0
2020-01-31,Italy,2,2,0,0
2020-02-01,Italy,2,2,0,0
2020-02-02,Italy,2,2,0,0
2020-02-03,Italy,2,2,0,0
2020-02-04,Italy,2,2,0,0
2020-02-05,Italy,2,2,0,0
2020-02-06,Italy,2,2,0,0
2020-02-07,Italy,3,3,0,0
2020-02-08,Italy,3,3,0,0
2020-02-09,Italy,3,3,0,0
2020-02-10,Italy,3,3,0,0
2020-02-11,Italy,3,3,0,0
2020-02-12,Italy,3,3,0,0
2020-02-13,Italy,3,3,0,0
2020-02-14,Italy,3,3,0,0
2020-02-15,Italy,3,3,0,0
2020-02-16,Italy,3,3,0,0
2020-02-17,Italy,3,3,0,0
2020-02-18,Italy,3,3,0,0
2020-02-19,Italy,3,3,0,0
2020-02-20,Italy,3,3,0,0
2020-02-21,Italy,20,19,1,0
2020-02-22,Italy,62,59,2,1
2020-02-23,Italy,155,150,3,2
2020-02-24,Italy,229,221,7,1
2020-02-25,Italy,322,311,10,1
2020-02-26,Italy,453,438,12,3
2020-02-27,Italy,655,593,17,45
2020-02-28,Italy,888,821,21,46
2020-02-29,Italy,1128,1053,29,46
2020-03-01,Italy,1694,1577,34,83
2020-03-02,Italy,2036,1835,52,149
2020-03-03,Italy,2502,2263,79,160
2020-03-04,Italy,3089,2706,107,276
2020-03-05,Italy,3858,3296,148,414
2020-03-06,Italy,4636,3916,197,523
2020-03-07,Italy,5883,5061,233,589
2020-03-08,Italy,7375,6387,366,622
2020-03-09,Italy,9172,7985,463,724
2020-03-10,Italy,10149,8794,631,724
2020-03-11,Italy,12462,10590,827,1045
2020-03-12,Italy,12462,10590,827,1045
2020-03-13,Italy,17660,14955,1266,1439
2020-03-14,Italy,21157,17750,1441,1966
2020-03-15,Italy,24747,20603,1809,2335
2020-03-16,Italy,27980,23073,2158,2749
2020-03-17,Italy,31506,26062,2503,2941
2020-03-18,Italy,35713,28710,2978,4025
2020-03-19,Italy,41035,33190,3405,4440
2020-03-20,Italy,47021,38549,4032,4440
2020-03-21,Italy,53578,42681,4825,6072
2020-03-22,Italy,59138,46638,5476,7024
2020-03-23,Italy,63927,50826,6077,7024
2020-03-24,Italy,69176,54030,6820,8326
2020-03-25,Italy,74386,57521,7503,9362
2020-03-26,Italy,80589,62013,8215,10361
2020-03-27,Italy,86498,66414,9134,10950
2020-03-28,Italy,92472,70065,10023,12384
2020-03-29,Italy,97689,73880,10779,13030
2020-03-30,Italy,101739,75528,11591,14620
2020-03-31,Italy,105792,77635,12428,15729
2020-04-01,Italy,110574,80572,13155,16847
2020-04-02,Italy,115242,83049,13915,18278
2020-04-03,Italy,119827,85388,14681,19758
2020-04-04,Italy,124632,88274,15362,20996
2020-04-05,Italy,128948,91246,15887,21815
2020-04-06,Italy,132547,93187,16523,22837
2020-04-07,Italy,135586,94067,17127,24392
2020-04-08,Italy,139422,95262,17669,26491
2020-04-09,Italy,143626,96877,18279,28470
2020-04-10,Italy,147577,98273,18849,30455
2020-04-11,Italy,152271,100269,19468,32534
2020-04-12,Italy,156363,102253,19899,34211
2020-04-13,Italy,159516,103616,20465,35435
2020-04-14,Italy,162488,104291,21067,37130
2020-04-15,Italy,165155,105418,21645,38092
2020-04-16,Italy,168941,106607,22170,40164
2020-04-17,Italy,172434,106962,22745,42727
2020-04-18,Italy,175925,107771,23227,44927
2020-04-19,Italy,178972,108257,23660,47055
2020-04-20,Italy,181228,108237,24114,48877
2020-04-21,Italy,183957,107709,24648,51600
2020-04-22,Italy,187327,107699,25085,54543
2020-04-23,Italy,189973,106848,25549,57576
2020-04-24,Italy,192994,106527,25969,60498
2020-04-25,Italy,195351,105847,26384,63120
2020-04-26,Italy,197675,106103,26644,64928
2020-04-27,Italy,199414,105813,26977,66624
2020-04-28,Italy,201505,105205,27359,68941
